codigo;abc;tipo;saldo_manut;provid_compras;recebimento_esperado;transito_manut;stage_manut;recepcao_manut;pendente_ri;pecas_teste_kit;pecas_teste;fornecedor_reparo;laboratorio;wr;wrcr;stage_wr;cmm;coef_perda
EOOR-072859;C;20;0;0;0;0;0;0;0;495;0;0;0;0;0;0;0;1
LOMR-013303;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
OSCP-083454;B;20;32;50;0;42;54;0;0;1382;0;0;0;384;0;0;68.51;1
IOSR-006299;C;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
KSBP-025624;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
QSBP-012604;C;10;17;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JOBR-031703;C;20;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
VOIR-014697;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RODR-022797;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VOQR-026241;C;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
AOFR-018739;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.69;1
ROFR-015304;C;20;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
QONR-023988;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KSXP-172927;C;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
HOYR-064318;C;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HSDP-082298;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VOKR-060005;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
HOSR-075047;C;20;15;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
ZMWC-090816;C;20;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1
MSVP-015747;C;19;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
WOBR-066703;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MOQR-023005;C;20;44;0;0;0;0;0;0;204;0;0;0;0;0;0;0;1
YOAR-064852;C;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33;1
CSVP-023213;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
UOLR-055231;C;19;18;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
MOVR-053085;C;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSOP-014476;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SOER-010822;C;20;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1
CMSC-020599;C;20;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MOOR-093068;C;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SORR-045376;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TOTR-080498;C;20;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
AMFC-020005;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZMBC-090318;C;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NOXR-095458;C;20;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JOUR-020489;C;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1
KOXR-096888;C;19;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
USCP-013475;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
OOUR-083847;C;20;395;0;0;0;0;0;0;0;0;0;0;0;0;0;1.83;1
ZOYR-000761;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
LOFR-035826;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
OOMR-073388;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
YSVP-023039;C;19;30;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
OOIR-064199;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
COXR-071729;C;20;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1
ROPR-068852;C;20;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
TOSR-068857;C;20;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
WOER-025598;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SOGR-070038;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.83;1
KOVR-083086;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
UOFR-032500;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
WOIR-001546;C;19;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MOXR-096597;C;20;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1
SOBR-004142;C;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IORR-023515;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.34;1
ISIP-022816;B;10;41;0;0;10;0;0;4;41;1;8;0;8;0;0;14.01;0.025025025
OOSR-068382;C;10;8;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
LOTR-041203;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
UOER-083904;C;19;2;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0
ZOMR-038358;C;20;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1
SODR-058642;C;20;81;0;0;0;0;0;0;0;0;0;0;0;0;0;1.01;1
IOCR-054218;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
YSKP-071205;C;20;212;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
MOFR-092266;C;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SOHR-033578;C;20;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TOZR-053143;C;20;294;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
QODR-082615;C;20;2598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
LOAR-075884;C;19;13;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0
MSRP-053099;C;20;53;0;0;0;0;0;0;0;0;0;0;0;0;0;6.85;1
KOYR-071464;C;20;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
HMAC-030459;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
DOVR-083951;C;20;19;0;0;0;39;0;0;0;0;0;0;0;0;0;0;1
DOPR-094722;C;20;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
BOGR-081569;C;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
HOIR-006175;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GSMP-042115;C;19;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JOOR-018545;C;20;0;0;0;0;0;0;0;1;0;0;0;0;0;0;17.49;1
GODR-033285;C;20;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TSGP-062778;C;20;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
DSHP-063775;C;20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BOAR-091472;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
WOUR-012441;C;20;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
BOYR-054207;C;20;0;0;0;0;0;0;0;266;0;0;0;0;0;0;0;1
MOTR-081189;C;20;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
QSPP-083099;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
XOER-071004;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
LOER-031808;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RSYP-053662;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
EOKR-080666;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BOKR-092826;A;20;1307;1000;0;27;31;0;0;163;0;0;0;1818;0;59;474.17;0
ZSYP-072827;C;20;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IOJR-025297;C;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
WOKR-080504;C;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ROUR-050996;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
LSZP-152934;C;20;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FOQR-022459;C;20;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
DOCR-066550;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
EOAR-000082;C;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZOJR-051329;C;10;1;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0
UOHR-015352;C;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06
UODR-051511;C;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GOAR-053557;C;20;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BOQR-033678;A;19;688;825;0;89;2;0;12;2;24;0;93;595;174;1;452.5;1
XSFP-013494;C;20;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JOQR-084956;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MOSR-095762;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
POWR-032637;C;20;257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
UOZR-075426;C;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EOXR-004205;C;20;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1
QSXP-123554;C;19;0;0;0;0;3;0;0;0;16;0;0;0;0;0;0;0
GOCR-086382;C;10;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0
WORR-014293;C;20;0;0;0;0;0;0;0;0;0;0;232;0;0;0;0;1
COER-036922;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
UOAR-046951;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.68;1
BOMR-004118;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
HANO-040712;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GOWR-083785;C;20;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
ASRP-022776;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
QSWP-011782;C;20;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZOFR-058777;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
KOIR-058894;C;10;28;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
POER-062249;C;20;29;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
BSKP-024961;C;20;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
QOYR-075678;C;19;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HOXR-018620;C;19;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
RQFB-070197;C;19;12;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0
FMCC-070383;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
OOZR-036909;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33;1
FOAR-056222;C;20;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1
EOSR-095963;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
XSNP-023126;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZOKR-096144;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
HORR-081213;C;10;0;2;0;3;1;0;0;0;0;4;0;0;0;0;0;0
FOKR-055369;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RSGP-053864;C;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IONR-013727;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
XOXR-070382;C;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZOMR-045380;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SOKR-044419;C;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZOYR-070991;C;20;1043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FOOR-095937;C;20;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1
AOFR-098297;C;20;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
COFR-005533;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VOTR-071807;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
XODR-031795;C;20;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
EOSR-083823;C;20;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
EOER-008142;C;19;0;0;0;0;0;0;0;0;8;0;0;3;0;0;0;0
ZOLR-061078;C;20;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GOFR-003094;C;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
YORR-078987;C;20;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1
QOQR-084947;C;20;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0.51;1
LOVR-035558;C;20;14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
LOFR-031826;C;20;60;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BOZR-008370;C;20;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IOJR-036661;C;20;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0.34;1
SOZR-098501;C;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OOCR-053213;C;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XOSR-014052;C;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UOSR-028945;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VOAR-013463;C;20;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
POIR-083380;C;20;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1
TOGJ-000936;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
POCR-035927;C;10;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COTR-010286;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BOUR-022211;C;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GOFR-016776;C;19;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
OOYR-021071;C;20;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TOYR-015161;C;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MSMP-014272;C;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BODR-095067;C;19;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0.67;0
EOXR-053897;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
HOGR-095300;C;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JSSP-031676;C;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
KOGR-084042;C;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OOUR-042821;C;20;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
EOYR-047231;C;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COJR-004806;C;20;446;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
UOQR-024550;C;20;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SSVP-055242;B;20;2545;0;0;28;1;0;0;20;0;0;0;129;0;0;179.67;1
TOJR-068250;C;20;3672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SOGR-053566;C;10;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0
ZOCR-008329;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TOLR-022957;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ASYP-017397;C;20;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DOER-045326;C;20;40;0;0;0;0;1;0;125;0;0;0;0;0;0;0;1
LSRP-053885;C;10;0;0;0;20;0;0;0;0;0;0;0;1;0;0;13.32;0
MOJR-025300;C;20;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IOCR-026032;C;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.13
PSBP-062115;C;20;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOFR-072318;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
PSIP-000259;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TOBR-072136;C;20;29;0;0;0;0;0;0;14;0;0;0;0;0;0;0;1
NSSP-102643;C;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
EOER-048891;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
KSKP-142290;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
HOWR-043093;C;20;234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BODR-002965;C;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.18;0
MOPR-090725;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NSZP-043981;C;20;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
LOOR-090525;C;10;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0
JONR-023364;C;20;0;0;0;0;2;0;0;21;0;0;0;0;0;0;0;1
PCDB-028417;C;20;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NOAR-018048;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BSYP-013811;C;20;7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
BOGR-005658;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HODR-074634;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
YMCC-070256;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
QOBR-080008;C;10;5;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
DOZR-058711;C;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
EASO-000115;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
WOBR-070143;C;20;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
QSBP-063721;C;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
HOBR-076305;C;20;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CSBP-043508;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IOPR-048356;C;19;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
FODR-038080;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SONR-021538;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
QOVR-056706;C;20;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
WONR-093487;C;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ASGP-012810;C;10;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0
KOGR-030966;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FOZR-070496;C;10;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0
MONR-028145;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SSCP-082352;C;20;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
WOPR-003030;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IOMR-062671;C;20;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JSKP-192051;C;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZODR-005779;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
POVR-075104;C;20;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BSAP-043953;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RMYC-080109;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
YOWR-048940;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
KOHR-015592;C;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BMIC-090998;C;20;14;0;0;24;0;0;0;0;0;0;0;0;0;0;0;1
BOZR-095479;C;20;198;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
POMR-093817;C;20;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
UOHR-012317;C;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SOOR-014696;C;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TORR-044136;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MSDP-023327;C;10;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0
JOBR-074709;C;20;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IOHR-035285;C;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NOFR-032839;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TOJR-093921;C;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TOOR-003174;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FONR-025063;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
OOBR-085708;C;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0
FODR-010600;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FOVR-004411;C;20;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
ROZR-014345;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.83;1
VSWP-093968;C;20;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
TOQR-092792;C;20;1;0;0;0;0;0;0;17;0;0;0;0;0;0;0;1
DOCR-072048;C;10;8;0;0;1;0;0;0;0;0;0;0;39;0;0;0;0
QOUR-092468;C;20;3176;0;0;0;0;0;0;3524;0;0;17;2;0;0;0;1
AOCR-088664;C;10;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.062189055
JORR-024251;C;20;23;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
OOLR-085823;C;20;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SOOR-082557;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
AARO-020090;C;20;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
IORR-001627;C;20;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1
KOPR-015203;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MOSR-013499;C;20;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MOCR-013258;C;20;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
POVJ-090432;C;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOVR-068848;C;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
EOOR-064957;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VSUP-002410;C;20;0;0;0;0;0;0;0;1530;0;0;0;0;0;0;0;1
SOLR-034164;C;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZOCR-096641;C;19;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
LONR-008748;C;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
UOHR-024754;C;20;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0
